condition,seed,generation,best_fitness,mean_fitness
crossover,1017,11,5199.221460687661,2434.5662025134143
crossover,1017,12,5199.221460687661,2649.254661241326
crossover,1017,13,5199.221460687661,2866.3437125201403
crossover,1017,14,5221.8344735682085,2666.76656983014
crossover,1017,15,5238.3316658117,2549.2337018376415
crossover,1017,16,5275.561778794803,2921.529594268244
crossover,1017,17,5275.561778794803,2511.6209764988407
crossover,1017,18,5290.787795576429,3152.117134540859
crossover,1017,19,5290.787795576429,2728.8237815533603
crossover,1018,0,117.58588069143656,3.245517654779124
crossover,1018,1,120.82212152715607,14.636188362842583
crossover,1018,2,205.15738972170558,42.793783224920254
crossover,1018,3,293.55777405883117,63.395377000440746
crossover,1018,4,344.772417675243,73.9396096409328
crossover,1018,5,397.4264950130102,68.13087474588175
crossover,1018,6,3710.5212561221147,207.716001547502
crossover,1018,7,3710.5212561221147,314.89939171000543
crossover,1018,8,3710.5212561221147,372.51761961530053
crossover,1018,9,4948.887786634226,589.9146097330856
crossover,1018,10,5021.992563116493,1127.8728284861554
crossover,1018,11,5021.992563116493,1225.2376249816268
crossover,1018,12,5059.663007280025,1301.2501593306247
crossover,1018,13,5059.663007280025,1132.5496749075041
crossover,1018,14,5130.685817317072,1337.7805695868553
crossover,1018,15,5130.685817317072,1805.1015573115822
crossover,1018,16,5142.439070776835,1615.4564676601797
crossover,1018,17,5142.439070776835,1533.030811092705
crossover,1018,18,5142.439070776835,1514.7077522643622
crossover,1018,19,5142.439070776835,1366.8975095198466
crossover,1019,0,97.92825896327952,6.750006156694483
crossover,1019,1,115.8040838626281,12.595680994418602
crossover,1019,2,345.6158405406957,39.692720152487155
crossover,1019,3,345.6158405406957,52.93457512342077
crossover,1019,4,5122.292778708832,230.53969773397498
crossover,1019,5,5170.394677582712,511.62010152387876
crossover,1019,6,5170.394677582712,557.9229769446321
crossover,1019,7,5199.703716557702,1180.7073491532371
crossover,1019,8,5199.703716557702,1097.4180694135223
crossover,1019,9,5199.703716557702,1487.258777428255
crossover,1019,10,5199.703716557702,1541.6171832801344
crossover,1019,11,5200.5506671258045,2170.9550922431795
crossover,1019,12,5200.5506671258045,2106.408461642518
crossover,1019,13,5214.98559396516,2057.1697972460074
