condition,seed,generation,best_fitness,mean_fitness
crossover,1003,4,119.7670749686683,96.99274227545676
crossover,1003,5,119.80268320876033,98.07399568850309
crossover,1003,6,120.9725077611014,113.05146253754509
crossover,1003,7,142.85766392048686,100.34159195978262
crossover,1003,8,143.58937088260285,121.8230544480677
crossover,1003,9,143.58937088260285,117.72534044310333
crossover,1003,10,143.58937088260285,108.42543090390426
crossover,1003,11,143.58937088260285,117.65419243873649
crossover,1003,12,143.613324908414,93.08576106603958
crossover,1003,13,143.613324908414,108.31724239166391
crossover,1003,14,143.613324908414,100.42812547225385
crossover,1003,15,143.613324908414,125.51410959171402
crossover,1003,16,143.76446611450032,121.09926149743612
crossover,1003,17,143.76446611450032,119.19945994003508
crossover,1003,18,143.76446611450032,122.5892503118146
crossover,1003,19,143.77183939392114,106.34287668330681
crossover,1004,0,59.685506425792546,3.7646167644938884
crossover,1004,1,239.28019661587527,37.74834224258197
crossover,1004,2,239.28019661587527,64.22437934812777
crossover,1004,3,239.28019661587527,77.41381671439727
crossover,1004,4,239.28019661587527,70.94122757821586
crossover,1004,5,349.91436930719357,137.535063823503
crossover,1004,6,383.5255146854682,205.31673684717492
crossover,1004,7,383.9495854421564,242.9002527652694
crossover,1004,8,389.26836824007574,283.40889087755045
crossover,1004,9,398.1233329208082,293.99597750810074
crossover,1004,10,398.1233329208082,376.74950473187675
crossover,1004,11,398.1233329208082,361.7509473011921
crossover,1004,12,398.1233329208082,306.0037643716121
crossover,1004,13,398.1233329208082,385.4296819521365
crossover,1004,14,398.1233329208082,326.49014010264494
crossover,1004,15,398.68974877230994,348.1162859036389
crossover,1004,16,398.68974877230994,305.7318165394199
crossover,1004,17,398.68974877230994,369.25386213331274
crossover,1004,18,398.68974877230994,347.5905262535065
crossover,1004,19,398.68974877230994,261.97645832284906
crossover,1005,0,63.57745966040184,-3.9966988478918193
crossover,1005,1,96.96346067741713,36.30178133268638
crossover,1005,2,348.29741259910503,68.04194452729634
crossover,1005,3,351.03846416341895,140.34590287731675
crossover,1005,4,5009.527962513083,613.3028659597902
crossover,1005,5,5009.527962513083,700.9165202888415
crossover,1005,6,5043.305797404277,1684.149956539901
crossover,1005,7,5070.611719511073,2947.099165105257
crossover,1005,8,5114.2763700597225,2862.912237009458
crossover,1005,9,5128.9024510488625,3551.5712288724985
crossover,1005,10,5128.9024510488625,2417.9980868536463
crossover,1005,11,5130.168408373469,2711.848034424998
crossover,1005,12,5134.880073441548,3935.9384437731687
crossover,1005,13,5134.880073441548,3019.1476103959353
crossover,1005,14,5137.759666922651,3004.28668578474
crossover,1005,15,5137.9193353877545,3088.4148673604805
crossover,1005,16,5140.079687712372,3697.9174346977547
crossover,1005,17,5140.22934161624,2422.130922107262
crossover,1005,18,5141.083398416841,3154.905829145667
crossover,1005,19,5141.083398416841,2751.5180462722296
crossover,1006,0,114.20745961894033,5.464041620119333
crossover,1006,1,140.74587879223176,49.41126996745192
crossover,1006,2,141.88527586786049,109.35272901743058
crossover,1006,3,349.3436378385316,151.5174907343013
crossover,1006,4,349.3436378385316,174.55019906896467
crossover,1006,5,351.250382069823,206.1642699295724
